PLAYER,TEAM,INJURY1,INJURY2,STATUS,DATE1,DATE2,DAYS,CASH EARNED,first_name,last_name,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,DATE1_NEW,DATE2_NEW,Year
Mike Foltynewicz,,,Healthy,,,,,,mike,foltynewicz,592314,foltm001,foltymi01,10811,2014,2020,,,2019
Adam Plutko,,,Healthy,,,,,,adam,plutko,592644,pluta001,plutkad01,15846,2016,2020,,,2019
Dallas Keuchel,,,Healthy,,,,,,dallas,keuchel,572971,keucd001,keuchda01,9434,2012,2020,,,2019
Adrian Houser,,,Healthy,,,,,,adrian,houser,605288,housa001,housead01,12718,2015,2020,,,2019
Cal Quantrill,,,Healthy,,,,,,cal,quantrill,615698,quanc001,quantca01,19312,2019,2020,,,2019
Ariel Jurado,,,Healthy,,,,,,ariel,jurado,642558,juraa001,juradar01,17030,2018,2020,,,2019
Drew Pomeranz,,,Healthy,,,,,,drew,pomeranz,519141,pomed001,pomerdr01,11426,2011,2020,,,2019
Aaron Brooks,,,Healthy,,,,,,aaron,brooks,605156,brooa001,brookaa01,12272,2014,2019,,,2019
Jorge Lopez,,,Healthy,,,,,,jorge,lopez,605347,lopej004,lopezjo02,14527,2015,2020,,,2019
Kevin Gausman,,,Healthy,,,,,,kevin,gausman,592332,gausk001,gausmke01,14107,2013,2020,,,2019
Matt Strahm,,,Healthy,,,,,,matt,strahm,621381,stram001,strahma01,13799,2016,2020,,,2019
Adrian Sampson,,,Healthy,,,,,,adrian,sampson,592716,sampa001,sampsad01,13339,2016,2019,,,2019
Ryan Yarbrough,,,Healthy,,,,,,ryan,yarbrough,642232,yarbr001,yarbrry01,16502,2018,2020,,,2019
Gabriel Ynoa,,,Healthy,,,,,,gabriel,ynoa,593679,ynoag001,ynoaga01,12938,2016,2019,,,2019
Trevor Cahill,,,Healthy,,,,,,trevor,cahill,502239,cahit001,cahiltr01,6249,2009,2020,,,2019
Tommy Milone,,,Healthy,,,,,,tommy,milone,543548,milot001,milonto01,7608,2011,2020,,,2019
Jalen Beeks,,,Healthy,,,,,,jalen,beeks,656222,beekj001,beeksja02,17192,2018,2020,,,2019
